DateOfDeparture,Dayofweek,DepArr,log_PAX,Departure,Arrival,WeeksToDeparture,std_wtd
2011/9/3,6,BOSEWR,8.783159644,BOS,EWR,10.57894737,6.423185342
2011/9/4,7,JFKLAX,11.95482074,JFK,LAX,13.5,8.22597512
2011/9/4,7,JFKSFO,11.01843144,JFK,SFO,11.69230769,7.852486133
2011/9/4,7,ATLMIA,9.357105253,ATL,MIA,11.73913043,7.949942203
2011/9/4,7,MSPATL,8.74925006,MSP,ATL,8.611111111,6.971698155
2011/9/4,7,PHXDEN,9.019548502,PHX,DEN,8.875,7.182153809
2011/9/4,7,CLTLGA,9.533733287,CLT,LGA,11.22727273,7.602830414
2011/9/4,7,ORDIAH,9.405865567,ORD,IAH,10.5,7.514897485
2011/9/4,7,LAXLAS,11.61602201,LAX,LAS,12.75,8.470537173
2011/9/4,7,PHLMCO,9.189208663,PHL,MCO,13.07407407,8.061904365
2011/9/4,7,LASDFW,10.6186724,LAS,DFW,11.60869565,7.802908143
2011/9/4,7,SFODFW,9.202674251,SFO,DFW,9.368421053,6.422274833
2011/9/4,7,MCOPHL,10.17404162,MCO,PHL,13,8.313843876
2011/9/4,7,LAXIAH,9.918164852,LAX,IAH,12.78571429,8.504278413
2011/9/4,7,LGADFW,8.816463668,LGA,DFW,9.789473684,7.012520132
2011/9/5,1,LGADTW,10.40606085,LGA,DTW,10.23809524,6.624988769
2011/9/5,1,ATLBOS,11.31314452,ATL,BOS,11.16666667,8.01447965
2011/9/5,1,ATLMCO,11.53328775,ATL,MCO,12.7037037,8.654988845
2011/9/5,1,ORDLAX,12.24930606,ORD,LAX,13.03448276,8.457806025
2011/9/5,1,MSPATL,10.01610971,MSP,ATL,9.666666667,7.136759302
2011/9/5,1,SFOJFK,12.2571476,SFO,JFK,12.53571429,8.167152561
2011/9/5,1,ATLLAX,11.58635975,ATL,LAX,11.20833333,7.978117718
2011/9/5,1,LASSFO,11.61233993,LAS,SFO,13.03703704,8.00231448
2011/9/5,1,SFOLAX,12.4989936,SFO,LAX,11.80769231,8.010089791
2011/9/5,1,CLTATL,10.12559797,CLT,ATL,8.722222222,7.217670763
2011/9/5,1,SFOLAS,10.77518151,SFO,LAS,11.36,7.761443165
2011/9/5,1,ORDLAS,10.46834783,ORD,LAS,13.03703704,8.00231448
2011/9/5,1,ATLDTW,10.80382993,ATL,DTW,9.142857143,6.303060481
2011/9/5,1,DFWBOS,9.684738625,DFW,BOS,11.86363636,7.778452867
2011/9/5,1,EWRLAX,10.98261462,EWR,LAX,12.8,8.215838363
2011/9/5,1,EWRSFO,10.91421574,EWR,SFO,12.61538462,7.833655203
2011/9/5,1,MSPDEN,10.33432217,MSP,DEN,9.526315789,6.501012067
2011/9/5,1,DENLAX,11.26492859,DEN,LAX,13,7.937253933
2011/9/5,1,BOSPHL,10.31225119,BOS,PHL,9.842105263,7.289742854
2011/9/5,1,ATLEWR,10.46834783,ATL,EWR,9.35,7.213109411
2011/9/5,1,DTWORD,9.972225906,DTW,ORD,11.40909091,7.713063075
2011/9/5,1,ORDATL,10.46834783,ORD,ATL,8.789473684,6.70471598
2011/9/5,1,SEASFO,10.48191135,SEA,SFO,11.43478261,7.396719709
2011/9/5,1,ORDEWR,11.23358372,ORD,EWR,12.4,7.958224258
2011/9/5,1,ORDLGA,12.77926626,ORD,LGA,13.11111111,8.116144089
2011/9/6,2,PHLBOS,11.60495388,PHL,BOS,10.5,7.72505473
2011/9/6,2,DTWORD,11.338928,DTW,ORD,8.823529412,6.287241984
2011/9/6,2,LAXSFO,12.74142776,LAX,SFO,12.60714286,8.288051577
2011/9/6,2,BOSATL,11.55621807,BOS,ATL,10.7826087,7.856419042
2011/9/6,2,ORDDFW,12.68215231,ORD,DFW,10.6,7.436750847
2011/9/6,2,BOSSFO,11.86689314,BOS,SFO,13.03703704,8.00231448
2011/9/6,2,SEADEN,10.93552998,SEA,DEN,10.04761905,6.288689772
2011/9/6,2,ORDEWR,12.10220987,ORD,EWR,9.7,6.258467948
2011/9/6,2,EWRATL,11.09294105,EWR,ATL,8.3125,6.117938106
2011/9/6,2,DENPHX,11.49835482,DEN,PHX,10.35,7.442940845
2011/9/6,2,SFOJFK,12.77729378,SFO,JFK,12.5,7.64852927
2011/9/6,2,LAXBOS,11.25155953,LAX,BOS,10.42857143,6.712461758
2011/9/6,2,ORDPHX,10.95660338,ORD,PHX,11.18181818,7.352591792
2011/9/6,2,BOSEWR,11.44267977,BOS,EWR,8.882352941,6.85458198
2011/9/6,2,LGABOS,12.33129622,LGA,BOS,7.266666667,6.551626479
2011/9/6,2,LASDEN,10.8208101,LAS,DEN,11.69565217,7.660018886
2011/9/6,2,LAXDEN,11.18787125,LAX,DEN,13.7037037,8.690466991
2011/9/6,2,CLTATL,10.91956718,CLT,ATL,8.5625,6.355771655
2011/9/6,2,ORDSEA,11.23809395,ORD,SEA,12.04,7.430118886
2011/9/7,3,EWRSFO,10.96705145,EWR,SFO,12.20833333,8.123926908
2011/9/7,3,CLTLGA,11.23358372,CLT,LGA,9.722222222,6.815255859
2011/9/7,3,DFWDEN,11.16458785,DFW,DEN,9,6.800735254
2011/9/7,3,SFOBOS,11.13149489,SFO,BOS,11,6.782329983
2011/9/7,3,LGADFW,11.04360019,LGA,DFW,10.35,6.815423685
2011/9/7,3,ORDIAH,10.4615289,ORD,IAH,10.05882353,8.188945202
2011/9/7,3,BOSLGA,13.35914284,BOS,LGA,4.090909091,3.176619129
2011/9/7,3,MSPDEN,10.77518151,MSP,DEN,8.444444444,6.617465502
2011/9/7,3,DTWATL,10.5482876,DTW,ATL,8.277777778,6.649241934
2011/9/7,3,JFKMIA,10.82643597,JFK,MIA,12.60714286,8.288051577
2011/9/7,3,ORDPHX,10.61238242,ORD,PHX,10.71428571,7.260460434
2011/9/7,3,BOSPHL,11.42646248,BOS,PHL,7.785714286,6.191539779
2011/9/7,3,BOSORD,12.22026835,BOS,ORD,10.9047619,7.245031138
2011/9/7,3,ORDDEN,11.22906257,ORD,DEN,12.13043478,8.092108096
2011/9/7,3,ATLDTW,10.24442641,ATL,DTW,5.714285714,4.304355065
2011/9/7,3,DTWORD,11.43053004,DTW,ORD,9.473684211,7.727069454
2011/9/7,3,LAXDEN,11.07336107,LAX,DEN,12.76923077,8.07617579
2011/9/7,3,ATLDFW,11.85398669,ATL,DFW,10,7.395944835
2011/9/8,4,ATLPHL,11.55241587,ATL,PHL,8.684210526,6.700353486
2011/9/8,4,ATLLGA,12.43371278,ATL,LGA,10.63636364,8.074330015
2011/9/8,4,SFOBOS,11.51784273,SFO,BOS,12.62962963,8.66978905
2011/9/8,4,ORDDEN,11.40599054,ORD,DEN,11.75,7.513755502
2011/9/8,4,JFKMCO,9.765837305,JFK,MCO,12.28,7.759510294
2011/9/8,4,BOSORD,12.34627603,BOS,ORD,11.36,7.761443165
2011/9/8,4,BOSLGA,13.32119993,BOS,LGA,7,6.175990377
2011/9/8,4,DFWSFO,11.1074923,DFW,SFO,10.55,7.789838185
2011/9/8,4,ORDBOS,12.17448325,ORD,BOS,12.76923077,8.071221431
2011/9/8,4,BOSEWR,11.55241587,BOS,EWR,11.19047619,7.87793785
2011/9/8,4,LAXBOS,10.98261462,LAX,BOS,12.68,8.280096618
2011/9/8,4,ATLCLT,10.61238242,ATL,CLT,6.066666667,4.366539438
2011/9/8,4,BOSPHL,11.82790268,BOS,PHL,8.176470588,5.317839013
2011/9/8,4,DENSFO,11.02349244,DEN,SFO,11.7826087,8.02811266
2011/9/8,4,DENDFW,11.17859274,DEN,DFW,9.888888889,7.722304509
2011/9/8,4,ATLORD,11.80809744,ATL,ORD,9.368421053,6.317616695
2011/9/9,5,DENDFW,11.35168729,DEN,DFW,7.9375,5.458555975
2011/9/9,5,PHLBOS,11.44267977,PHL,BOS,8.705882353,6.780161372
2011/9/9,5,EWRSFO,11.22906257,EWR,SFO,12.68,8.158431222
2011/9/9,5,LASDFW,10.28991588,LAS,DFW,12.32,7.941032678
2011/9/9,5,SFODFW,10.97225362,SFO,DFW,9.052631579,5.720078517
2011/9/9,5,EWRBOS,10.93552998,EWR,BOS,11.54545455,7.932616651
2011/9/9,5,ATLPHL,11.43863865,ATL,PHL,10.72727273,8.321983613
2011/9/9,5,DENSFO,11.05357334,DEN,SFO,11.72727273,8.154355063
2011/9/9,5,LAXDEN,11.65964917,LAX,DEN,13.07692308,8.084172571
2011/9/9,5,DFWLAX,11.37694695,DFW,LAX,11.76923077,7.966468188
2011/9/9,5,ATLLAX,11.16458785,ATL,LAX,10.31578947,7.681526408
2011/9/9,5,LGAATL,12.73336299,LGA,ATL,10.95833333,7.669698518
2011/9/9,5,PHXDEN,11.11713044,PHX,DEN,9.444444444,6.955507528
2011/9/9,5,ORDDFW,12.42181117,ORD,DFW,10.81818182,8.009734337
2011/9/9,5,JFKMCO,10.18991385,JFK,MCO,12.80769231,8.030039755
2011/9/9,5,DTWLGA,10.97744131,DTW,LGA,9.315789474,6.128735882
2011/9/9,5,ATLSFO,10.6186724,ATL,SFO,12,7.945466304
2011/9/9,5,LASJFK,10.75194163,LAS,JFK,13.03448276,8.457806025
2011/9/9,5,DFWSFO,10.85431356,DFW,SFO,11.5,7.071067812
2011/9/9,5,LGABOS,12.67173924,LGA,BOS,5.666666667,5.63000619
2011/9/10,6,ORDMSP,9.663900691,ORD,MSP,11.22727273,7.335054894
2011/9/10,6,DENMSP,9.120382559,DEN,MSP,6.6,5.382511363
2011/9/10,6,ORDLAX,11.52943847,ORD,LAX,13.03703704,8.00231448
2011/9/10,6,LGAATL,10.72247853,LGA,ATL,9.954545455,7.141276881
2011/9/10,6,JFKMIA,10.76359777,JFK,MIA,13.67857143,8.489878817
2011/9/10,6,ATLCLT,9.106307204,ATL,CLT,11.38095238,9.222126601
2011/9/10,6,JFKLAS,10.5220199,JFK,LAS,12.44,7.969107018
2011/9/10,6,DENLAX,10.15803314,DEN,LAX,13.03846154,8.430804323
2011/9/10,6,ORDEWR,10.83763706,ORD,EWR,10.2,6.993229809
2011/9/10,6,SFOATL,10.01610971,SFO,ATL,9.157894737,5.927929729
2011/9/10,6,EWRATL,9.307035783,EWR,ATL,8.3125,6.311035309
2011/9/10,6,LASDFW,9.725728753,LAS,DFW,9.9,6.734827001
2011/9/10,6,DFWSFO,10.40606085,DFW,SFO,13.53571429,8.288689942
2011/9/10,6,BOSORD,10.89265509,BOS,ORD,12,7.840807412
2011/9/10,6,ORDATL,9.927284556,ORD,ATL,10.6,7.472053195
2011/9/10,6,LAXORD,11.90508511,LAX,ORD,13.44444444,8.567978549
2011/9/11,7,DTWORD,10.88178056,DTW,ORD,10.36842105,7.882544191
2011/9/11,7,SFOLAS,10.95660338,SFO,LAS,12.80769231,8.148713915
2011/9/11,7,LGAORD,12.62949563,LGA,ORD,12.37037037,8.316564325
2011/9/11,7,LASLAX,13.34464062,LAS,LAX,13.53333333,8.748333175
2011/9/11,7,ORDDEN,10.92490331,ORD,DEN,9.55,7.337538667
2011/9/11,7,MCOEWR,10.55479712,MCO,EWR,12.56,8.170475302
2011/9/11,7,DENORD,10.7809465,DEN,ORD,12,7.840807412
2011/9/11,7,ATLDTW,10.05048812,ATL,DTW,9.45,7.279929149
2011/9/11,7,LAXATL,11.41010294,LAX,ATL,12.125,8.077410799
2011/9/11,7,CLTLGA,10.07586233,CLT,LGA,9.647058824,7.976067142
2011/9/11,7,ORDMSP,11.33465543,ORD,MSP,10.09090909,7.399543685
2011/9/11,7,DENDFW,11.35168729,DEN,DFW,10,7.333333333
2011/9/11,7,DTWATL,10.31963724,DTW,ATL,9.235294118,7.172250447
2011/9/11,7,LASORD,11.3044702,LAS,ORD,12.44,7.989993742
2011/9/11,7,ORDLAS,11.44671215,ORD,LAS,12.44,8.021221852
2011/9/12,1,LAXORD,12.66755768,LAX,ORD,12.80769231,8.129055201
2011/9/12,1,IAHLAX,10.97744131,IAH,LAX,11.82608696,7.88930331
2011/9/12,1,SFOEWR,11.48656357,SFO,EWR,12.16,7.603069556
2011/9/12,1,ATLEWR,11.71975785,ATL,EWR,8.235294118,5.448961045
2011/9/12,1,IAHORD,11.14574955,IAH,ORD,8.294117647,5.598713087
2011/9/12,1,LAXIAH,10.67434745,LAX,IAH,10.4,7.235875534
2011/9/12,1,BOSATL,11.86689314,BOS,ATL,10.40909091,7.79290942
2011/9/12,1,EWRATL,11.76784461,EWR,ATL,8.823529412,6.277293347
2011/9/12,1,BOSORD,12.64650807,BOS,ORD,12.73076923,8.057581237
2011/9/12,1,LGAORD,13.74999322,LGA,ORD,11.20833333,7.956289099
2011/9/12,1,DENLAX,11.77798956,DEN,LAX,12.16,7.603069556
2011/9/12,1,MCOPHL,10.07586233,MCO,PHL,11.60869565,7.602267188
2011/9/12,1,LGABOS,12.57970226,LGA,BOS,6.846153846,7.3693753
2011/9/12,1,LASLAX,12.93973235,LAS,LAX,12.92857143,8.742948784
2011/9/13,2,PHLMCO,9.998679906,PHL,MCO,11.77272727,8.400293749
2011/9/13,2,BOSLAX,10.84877128,BOS,LAX,11.31818182,7.803456887
2011/9/13,2,MSPDEN,10.42008329,MSP,DEN,9.55,7.229144231
2011/9/13,2,MCOPHL,9.881233433,MCO,PHL,11.68181818,8.231104558
2011/9/13,2,BOSATL,11.06349345,BOS,ATL,9.947368421,7.106129469
2011/9/13,2,DFWLGA,11.70227904,DFW,LGA,10.05,6.644942675
2011/9/13,2,EWRBOS,11.53328775,EWR,BOS,10.66666667,8.152949665
2011/9/13,2,ATLBOS,11.36014525,ATL,BOS,8.444444444,6.989254123
2011/9/13,2,CLTLGA,11.32177868,CLT,LGA,11.21052632,8.489071061
2011/9/13,2,ORDSFO,12.06210132,ORD,SFO,11.79166667,7.564098076
2011/9/13,2,DENLAX,11.35168729,DEN,LAX,11.91666667,7.71174523
2011/9/13,2,DENLAS,11.04360019,DEN,LAS,11.7826087,7.94272979
2011/9/13,2,DFWLAS,10.57419046,DFW,LAS,10.15,6.784463676
2011/9/13,2,LASDEN,10.14188607,LAS,DEN,11.23809524,8.117294881
2011/9/13,2,EWRMCO,10.21347175,EWR,MCO,11.47826087,7.555067927
2011/9/14,3,LAXJFK,13.33442155,LAX,JFK,13.06896552,8.518597447
2011/9/14,3,LAXSEA,11.13625856,LAX,SEA,11.84,8.10185164
2011/9/14,3,MSPATL,10.9408207,MSP,ATL,10.25,7.232055834
2011/9/14,3,SFODEN,11.36014525,SFO,DEN,11.70833333,7.439490204
2011/9/14,3,PHLORD,12.20959607,PHL,ORD,10.25,7.210190157
2011/9/14,3,SFODFW,11.26048288,SFO,DFW,11.91304348,8.311618612
2011/9/14,3,ATLEWR,11.36014525,ATL,EWR,10.4,7.61853695
2011/9/14,3,DTWLGA,11.2782025,DTW,LGA,9.736842105,8.665654462
2011/9/14,3,LASORD,11.17393612,LAS,ORD,12.37037037,8.413122297
2011/9/14,3,LAXDEN,11.3174666,LAX,DEN,11.86956522,8.142505466
2011/9/14,3,MIALGA,10.93552998,MIA,LGA,9.315789474,6.128735882
2011/9/14,3,DENDFW,11.11713044,DEN,DFW,9.444444444,7.204755147
2011/9/14,3,LGACLT,11.47866112,LGA,CLT,11.31818182,7.699018884
2011/9/15,4,ORDDTW,11.71975785,ORD,DTW,9.647058824,7.557621786
2011/9/15,4,SFOBOS,12.12194525,SFO,BOS,12.5,8.392543274
2011/9/15,4,DFWLGA,11.95175082,DFW,LGA,10.23809524,6.53379493
2011/9/15,4,DFWBOS,11.41010294,DFW,BOS,9.952380952,7.59918542
2011/9/15,4,DENSFO,11.24259329,DEN,SFO,11.5,7.071067812
2011/9/15,4,EWRORD,12.67173924,EWR,ORD,11.69565217,7.818595448
2011/9/15,4,JFKLAX,13.64022162,JFK,LAX,14.03225806,9.03874575
2011/9/15,4,LAXSEA,11.48656357,LAX,SEA,11.52,7.964086053
2011/9/15,4,LAXSFO,13.00723408,LAX,SFO,13.53333333,8.748333175
2011/9/15,4,ORDDEN,11.55621807,ORD,DEN,12.125,7.963571954
2011/9/15,4,MSPDEN,11.32177868,MSP,DEN,9.444444444,6.784257055
2011/9/15,4,IAHORD,12.01518121,IAH,ORD,10.3,7.226413539
2011/9/15,4,MIAJFK,10.5933842,MIA,JFK,12.88461538,8.276844438
2011/9/15,4,MIAATL,11.05357334,MIA,ATL,12.08695652,9.457623397
2011/9/15,4,LASORD,11.71278597,LAS,ORD,11.30434783,7.332584702
2011/9/15,4,PHLORD,12.26755195,PHL,ORD,12.39130435,8.758056709
2011/9/16,5,ATLDFW,12.19347226,ATL,DFW,9.789473684,6.948852402
2011/9/16,5,LAXEWR,11.3044702,LAX,EWR,13.57142857,8.346339057
2011/9/16,5,SFOSEA,11.46275505,SFO,SEA,11.09090909,7.539793422
2011/9/16,5,LGADFW,11.85722168,LGA,DFW,8.526315789,6.212607442
2011/9/16,5,MSPDEN,11.06843379,MSP,DEN,10.05,6.684428094
2011/9/16,5,BOSORD,12.46430613,BOS,ORD,10.66666667,7.261772052
2011/9/16,5,DFWBOS,11.33465543,DFW,BOS,10.47826087,7.597066211
2011/9/16,5,LASORD,11.73016705,LAS,ORD,13.10344828,8.582976621
2011/9/16,5,JFKMIA,11.13149489,JFK,MIA,14,8.514693183
2011/9/16,5,LASLAX,12.65073704,LAS,LAX,14.03225806,9.03874575
2011/9/16,5,ATLLAX,11.46275505,ATL,LAX,11.2,7.571877794
2011/9/16,5,DFWLAX,12.33129622,DFW,LAX,13.07407407,8.999683439
2011/9/16,5,LAXORD,12.65284793,LAX,ORD,13.5,8.22597512
2011/9/16,5,ATLEWR,11.26492859,ATL,EWR,10.05,8.475816992
2011/9/16,5,LAXIAH,10.9408207,LAX,IAH,11.5,7.902681884
2011/9/16,5,MIALGA,10.7284085,MIA,LGA,10.25,6.919651649
2011/9/16,5,DFWPHL,11.42238603,DFW,PHL,10,7.371114796
2011/9/16,5,MCOEWR,11.06349345,MCO,EWR,14,7.937253933
2011/9/16,5,EWRMCO,10.97225362,EWR,MCO,12.13043478,8.308289113
2011/9/16,5,DENPHX,11.35168729,DEN,PHX,11.2,7.604823031
2011/9/16,5,MSPATL,10.93022421,MSP,ATL,11.22727273,7.590293414
2011/9/16,5,ORDPHX,10.86534895,ORD,PHX,13.07692308,8.564685993
2011/9/17,6,BOSORD,10.99804899,BOS,ORD,10.42857143,6.968295549
2011/9/17,6,PHXORD,10.00741517,PHX,ORD,12.20833333,8.187897573
2011/9/17,6,SFOLAS,10.52862159,SFO,LAS,13.2962963,8.402448429
2011/9/17,6,BOSSFO,10.62494123,BOS,SFO,13.07692308,8.480203191
2011/9/17,6,ORDPHX,9.8624898,ORD,PHX,12.16666667,7.987308774
2011/9/17,6,DENPHX,9.106307204,DEN,PHX,11.80952381,8.576823699
2011/9/17,6,DENSEA,9.881233433,DEN,SEA,10.6,7.493154771
2011/9/17,6,LASDFW,10.40606085,LAS,DFW,12.16666667,7.877688177
2011/9/17,6,ATLCLT,9.417859021,ATL,CLT,10.52380952,6.874729432
2011/9/17,6,DFWSFO,9.989903534,DFW,SFO,12.04166667,7.743042693
2011/9/17,6,ORDDTW,9.5999524,ORD,DTW,8.0625,5.65058994
2011/9/17,6,DFWDEN,9.785572682,DFW,DEN,9.833333333,7.477416981
2011/9/17,6,DFWLAX,11.03357341,DFW,LAX,10.7826087,7.90831853
2011/9/17,6,SFOORD,11.46275505,SFO,ORD,12,7.923547734
2011/9/17,6,DENORD,9.927284556,DEN,ORD,13.30769231,8.798950986
2011/9/18,7,LASORD,11.39359863,LAS,ORD,13.67857143,8.511663333
2011/9/18,7,LASJFK,11.66682216,LAS,JFK,13.34482759,8.840959313
2011/9/18,7,ORDSFO,12.11632784,ORD,SFO,12.84615385,8.171620685
2011/9/18,7,LAXORD,12.54649706,LAX,ORD,13.44444444,8.581434941
2011/9/18,7,SFOATL,10.91956718,SFO,ATL,9.666666667,7.136759302
2011/9/18,7,EWRSFO,11.70227904,EWR,SFO,12.55555556,8.648402846
2011/9/18,7,CLTATL,9.918164852,CLT,ATL,10.61904762,7.426144292
2011/9/18,7,MCOATL,11.09294105,MCO,ATL,12,8.19645156
2011/9/18,7,ORDPHL,11.56757836,ORD,PHL,11.60869565,7.826174791
2011/9/18,7,ATLMCO,11.97009499,ATL,MCO,13.14285714,9.062393951
2011/9/18,7,ORDLAS,11.46275505,ORD,LAS,12.07407407,7.941739424
2011/9/18,7,BOSORD,12.05339324,BOS,ORD,10.65217391,7.613437258
2011/9/18,7,LASLAX,13.43971893,LAS,LAX,14.03225806,9.03874575
2011/9/18,7,ATLORD,11.4142063,ATL,ORD,9.857142857,7.551726387
2011/9/19,1,ATLLAX,11.95175082,ATL,LAX,11,8.140806304
2011/9/19,1,EWRLAX,11.59381966,EWR,LAX,12.84,8.3
2011/9/19,1,DENLAS,11.25155953,DEN,LAS,13.08333333,9.102874208
2011/9/19,1,MIALGA,11.29138259,MIA,LGA,10.54545455,7.663937026
2011/9/19,1,LAXBOS,11.14574955,LAX,BOS,11.86363636,8.084644201
2011/9/19,1,SEASFO,11.82790268,SEA,SFO,13.07407407,8.061904365
2011/9/19,1,LGAATL,13.33002475,LGA,ATL,8.631578947,6.709947229
2011/9/19,1,LAXSFO,12.85081895,LAX,SFO,14.03225806,9.03874575
2011/9/19,1,DFWORD,12.93248267,DFW,ORD,11.81818182,8.168676314
2011/9/19,1,SFOSEA,11.60495388,SFO,SEA,10.95454545,7.312593656
2011/9/19,1,EWRMCO,11.32177868,EWR,MCO,13.2962963,8.429868211
2011/9/19,1,SEAORD,11.55621807,SEA,ORD,10.68181818,6.820043036
2011/9/19,1,ORDMSP,12.88466016,ORD,MSP,11.25,8.173392675
2011/9/19,1,SFODFW,11.40599054,SFO,DFW,10.42857143,6.764402624
2011/9/19,1,SFODEN,11.19710382,SFO,DEN,12.45833333,8.330035579
2011/9/20,2,DTWATL,10.3848275,DTW,ATL,6.5,4.183300133
2011/9/20,2,MSPATL,10.86534895,MSP,ATL,8.315789474,6.037407755
2011/9/20,2,JFKSFO,12.76938295,JFK,SFO,12.67857143,8.415389656
2011/9/20,2,DFWLGA,11.72323404,DFW,LGA,8.470588235,5.917322526
2011/9/20,2,DTWLGA,10.95660338,DTW,LGA,9.411764706,6.88348407
2011/9/20,2,MCOEWR,10.44781578,MCO,EWR,13,8.755950358
2011/9/20,2,SEALAX,11.02853973,SEA,LAX,10.69565217,7.671877704
2011/9/20,2,PHXORD,10.76939863,PHX,ORD,11.76190476,8.508259293
2011/9/20,2,LASORD,10.63118906,LAS,ORD,13.75,8.613619706
2011/9/20,2,DFWPHL,10.5352,DFW,PHL,8.25,5.904800307
2011/9/20,2,LASSFO,10.91956718,LAS,SFO,12.96153846,8.325770928
2011/9/20,2,LGADFW,11.4667443,LGA,DFW,10.57142857,7.138427198
2011/9/20,2,LAXJFK,13.31085124,LAX,JFK,13.34482759,8.877241617
2011/9/21,3,DENLAX,11.57886987,DEN,LAX,13.21428571,9.044569244
2011/9/21,3,BOSLGA,13.46854872,BOS,LGA,7.8,7.830343908
2011/9/21,3,DENMSP,11.08317675,DEN,MSP,10,7.218802609
2011/9/21,3,LAXLAS,11.86045108,LAX,LAS,14.03225806,9.03874575
2011/9/21,3,DFWLAX,11.72670377,DFW,LAX,12.11538462,8.515054542
2011/9/21,3,DFWORD,12.89209776,DFW,ORD,12.5,8.459622769
2011/9/21,3,PHLMCO,10.37769565,PHL,MCO,14.62962963,9.699913355
2011/9/21,3,EWRBOS,11.91137508,EWR,BOS,11.33333333,8.308630052
2011/9/21,3,JFKLAS,11.25602654,JFK,LAS,13.13793103,8.63846935
2011/9/21,3,ORDSFO,12.66964963,ORD,SFO,12.88461538,8.238091639
2011/9/21,3,ORDMSP,12.62307574,ORD,MSP,10.05263158,7.059065757
2011/9/21,3,DENLAS,10.5933842,DEN,LAS,13.28571429,8.97674833
2011/9/21,3,LAXSFO,13.14992437,LAX,SFO,13.67857143,8.511663333
2011/9/21,3,EWRSFO,11.39359863,EWR,SFO,14.31034483,8.896642418
